brand,model,year,engine_cc,gear_type,fuel_type,mileage_km,condition,town,listing_month,listing_year,price_lkr
AUDI,A1,2018,1000.0,automatic,petrol,77000,USED,Dehiwala-Mount-Lavinia,1,2025,9850000.0
AUDI,A1,2018,1500.0,automatic,petrol,77000,USED,Colombo,12,2024,9137500.0
AUDI,A1,2017,1000.0,automatic,petrol,88000,USED,Colombo,1,2025,9700000.0
AUDI,A1,2017,1000.0,automatic,petrol,88000,USED,Negombo,12,2024,10700000.0
AUDI,A1,2017,1000.0,automatic,petrol,88000,USED,Colombo,12,2024,9950000.0
AUDI,A1,2017,1000.0,automatic,petrol,88000,USED,Matara,12,2024,10400000.0
AUDI,A1,2016,990.0,automatic,petrol,99000,USED,Gampaha,2,2025,10000000.0
AUDI,A1 RS,2016,1000.0,automatic,petrol,99000,USED,Colombo,1,2025,10500000.0
AUDI,A3,2025,1500.0,automatic,petrol,0,BRAND NEW,Colombo,4,2026,19818000.0
AUDI,A3,2025,1500.0,automatic,petrol,0,BRAND NEW,Kandy,4,2026,18877000.0
AUDI,A3,2025,1500.0,automatic,petrol,0,BRAND NEW,Colombo,4,2026,19137000.0
AUDI,A3,2025,1500.0,automatic,petrol,0,BRAND NEW,Galle,4,2026,18614000.0
AUDI,A3,2025,1500.0,automatic,petrol,0,BRAND NEW,Kandy,4,2026,19228000.0
AUDI,A3,2025,1500.0,automatic,petrol,10115,USED,Gampaha,4,2026,18747000.0
AUDI,A3,2025,1500.0,automatic,petrol,12819,USED,Batticaloa,4,2026,19033000.0
AUDI,A3,2025,1500.0,automatic,petrol,0,BRAND NEW,Kandy,4,2026,19221000.0
AUDI,A3,2025,1500.0,automatic,petrol,1473,USED,Galle,4,2026,17650000.0
AUDI,A3,2025,1500.0,automatic,petrol,10661,USED,Jaffna,4,2026,18456000.0
AUDI,A3,2025,1500.0,automatic,petrol,0,BRAND NEW,Kandy,4,2026,18680000.0
AUDI,A3,2024,1500.0,automatic,petrol,8161,USED,Kandy,4,2026,17663000.0
AUDI,A3,2024,1500.0,automatic,petrol,9865,USED,Jaffna,4,2026,17840000.0
AUDI,A3,2024,1500.0,automatic,petrol,11146,USED,Kandy,4,2026,17700000.0
AUDI,A3,2024,1500.0,automatic,petrol,1286,USED,Kalutara,4,2026,18019000.0
AUDI,A3,2024,1500.0,automatic,petrol,4105,USED,Kandy,4,2026,18469000.0
AUDI,A3,2024,1500.0,automatic,petrol,8064,USED,Kurunegala,4,2026,16456000.0
AUDI,A3,2024,1500.0,automatic,petrol,10993,USED,Kurunegala,4,2026,19299000.0
AUDI,A3,2023,1500.0,automatic,petrol,11070,RECONDITIONED,Galle,4,2026,17210000.0
AUDI,A3,2023,1500.0,automatic,petrol,27312,RECONDITIONED,Negombo,4,2026,16605000.0
AUDI,A3,2023,1500.0,automatic,petrol,8647,RECONDITIONED,Kurunegala,4,2026,17460000.0
AUDI,A3,2023,1500.0,automatic,petrol,29499,RECONDITIONED,Kalutara,4,2026,18796000.0
AUDI,A3,2023,1500.0,automatic,petrol,11276,RECONDITIONED,Colombo,4,2026,17139000.0
AUDI,A3,2023,1500.0,automatic,petrol,8552,RECONDITIONED,Kalutara,4,2026,17617000.0
AUDI,A3,2023,1500.0,automatic,petrol,26550,RECONDITIONED,Kalutara,4,2026,17571000.0
AUDI,A3,2018,1000.0,automatic,petrol,77000,USED,Nugegoda,2,2025,13900000.0
AUDI,A3,2018,1750.0,automatic,petrol,77000,USED,Gampaha,1,2025,13900000.0
AUDI,A3,2018,1000.0,automatic,petrol,77000,USED,Anuradapura,1,2025,13900000.0
AUDI,A3,2018,1000.0,automatic,petrol,77000,USED,Kandy,1,2025,13900000.0
AUDI,A3 S LINE,2018,1000.0,automatic,petrol,77000,USED,Colombo,1,2025,17800000.0
AUDI,A3 S LINE,2018,1000.0,automatic,petrol,77000,USED,Colombo,12,2024,17800000.0
AUDI,A3 S-LINE,2018,999.0,automatic,petrol,77000,USED,Ambalangoda,12,2024,14500000.0
AUDI,A3 SEDAN,2025,1500.0,automatic,petrol,14969,USED,Batticaloa,4,2026,17344000.0
AUDI,A3 SEDAN,2025,1500.0,automatic,petrol,0,BRAND NEW,Galle,4,2026,21052000.0
AUDI,A3 SEDAN,2025,1500.0,automatic,petrol,4441,USED,Gampaha,4,2026,18026000.0
AUDI,A3 SEDAN,2025,1500.0,automatic,petrol,9707,USED,Kurunegala,4,2026,18900000.0
AUDI,A3 SEDAN,2025,1500.0,automatic,petrol,0,BRAND NEW,Galle,4,2026,19411000.0
AUDI,A3 SEDAN,2025,1500.0,automatic,petrol,8163,USED,Galle,4,2026,19356000.0
AUDI,A3 SEDAN,2025,1500.0,automatic,petrol,0,BRAND NEW,Kandy,4,2026,20091000.0
AUDI,A3 SEDAN,2025,1500.0,automatic,petrol,0,BRAND NEW,Jaffna,4,2026,18812000.0
AUDI,A3 SEDAN,2025,1500.0,automatic,petrol,0,BRAND NEW,Kandy,4,2026,21248000.0
AUDI,A3 SEDAN,2025,1500.0,automatic,petrol,0,BRAND NEW,Kandy,4,2026,19243000.0
AUDI,A3 SEDAN,2025,1500.0,automatic,petrol,7049,USED,Gampaha,4,2026,18473000.0
AUDI,A3 SEDAN,2025,1500.0,automatic,petrol,0,BRAND NEW,Galle,4,2026,19391000.0
AUDI,A3 SEDAN,2024,1500.0,automatic,petrol,7280,USED,Gampaha,4,2026,18644000.0
AUDI,A3 SEDAN,2024,1500.0,automatic,petrol,14836,USED,Galle,4,2026,17525000.0
AUDI,A3 SEDAN,2024,1500.0,automatic,petrol,6237,USED,Gampaha,4,2026,19566000.0
AUDI,A3 SEDAN,2024,1500.0,automatic,petrol,13587,USED,Jaffna,4,2026,19928000.0
AUDI,A3 SEDAN,2024,1500.0,automatic,petrol,1271,USED,Colombo,4,2026,18726000.0
AUDI,A3 SEDAN,2024,1500.0,automatic,petrol,8969,USED,Jaffna,4,2026,19196000.0
AUDI,A3 SEDAN,2024,1500.0,automatic,petrol,14842,USED,Kandy,4,2026,18712000.0
AUDI,A3 SEDAN,2024,1500.0,automatic,petrol,14489,USED,Jaffna,4,2026,19778000.0
AUDI,A3 SEDAN,2024,1500.0,automatic,petrol,1486,USED,Kalutara,4,2026,19930000.0
AUDI,A3 SEDAN,2023,1500.0,automatic,petrol,22419,RECONDITIONED,Kalutara,4,2026,16928000.0
AUDI,A3 SEDAN,2023,1500.0,automatic,petrol,14988,RECONDITIONED,Kalutara,4,2026,16976000.0
AUDI,A3 SEDAN,2023,1500.0,automatic,petrol,8714,RECONDITIONED,Kandy,4,2026,17065000.0
AUDI,A3 SEDAN,2023,1500.0,automatic,petrol,19082,RECONDITIONED,Gampaha,4,2026,18633000.0
AUDI,A3 SPORTBACK,2025,1500.0,automatic,petrol,1434,USED,Kandy,4,2026,18096000.0
AUDI,A3 SPORTBACK,2025,1500.0,automatic,petrol,0,BRAND NEW,Kurunegala,4,2026,18827000.0
AUDI,A3 SPORTBACK,2025,1500.0,automatic,petrol,0,BRAND NEW,Jaffna,4,2026,20361000.0
AUDI,A3 SPORTBACK,2025,1500.0,automatic,petrol,0,BRAND NEW,Negombo,4,2026,18966000.0
AUDI,A3 SPORTBACK,2025,1500.0,automatic,petrol,0,BRAND NEW,Jaffna,4,2026,19482000.0
AUDI,A3 SPORTBACK,2025,1500.0,automatic,petrol,0,BRAND NEW,Colombo,4,2026,20014000.0
AUDI,A3 SPORTBACK,2025,1500.0,automatic,petrol,5419,USED,Kurunegala,4,2026,18017000.0
AUDI,A3 SPORTBACK,2025,1500.0,automatic,petrol,1119,USED,Matara,4,2026,18247000.0
AUDI,A3 SPORTBACK,2025,1500.0,automatic,petrol,5176,USED,Jaffna,4,2026,18719000.0
AUDI,A3 SPORTBACK,2025,1500.0,automatic,petrol,0,BRAND NEW,Kandy,4,2026,19288000.0
AUDI,A3 SPORTBACK,2025,1500.0,automatic,petrol,0,BRAND NEW,Kalutara,4,2026,18048000.0
AUDI,A3 SPORTBACK,2025,1500.0,automatic,petrol,0,BRAND NEW,Kalutara,4,2026,19418000.0
AUDI,A3 SPORTBACK,2025,1500.0,automatic,petrol,8914,USED,Colombo,4,2026,17466000.0
AUDI,A3 SPORTBACK,2025,1500.0,automatic,petrol,0,BRAND NEW,Colombo,4,2026,20294000.0
AUDI,A3 SPORTBACK,2025,1500.0,automatic,petrol,0,BRAND NEW,Batticaloa,4,2026,18593000.0
AUDI,A3 SPORTBACK,2025,1500.0,automatic,petrol,0,BRAND NEW,Kalutara,4,2026,18758000.0
AUDI,A3 SPORTBACK,2025,1500.0,automatic,petrol,0,BRAND NEW,Jaffna,4,2026,19388000.0
AUDI,A3 SPORTBACK,2025,1500.0,automatic,petrol,0,BRAND NEW,Batticaloa,4,2026,17522000.0
AUDI,A3 SPORTBACK,2024,1500.0,automatic,petrol,1882,USED,Negombo,4,2026,17458000.0
AUDI,A3 SPORTBACK,2024,1500.0,automatic,petrol,10745,USED,Kandy,4,2026,19019000.0
