Brand,Model,Manufacture_Year,Trend_Year,Market_Value_LKR
AUDI,A1,2016,2016,5000000.0
AUDI,A1,2016,2017,5000000.0
AUDI,A1,2016,2018,5000000.0
AUDI,A1,2016,2019,5000000.0
AUDI,A1,2016,2020,5000000.0
AUDI,A1,2016,2021,5000000.0
AUDI,A1,2016,2022,6000000.0
AUDI,A1,2016,2023,7000000.0
AUDI,A1,2016,2024,8000000.0
AUDI,A1,2016,2025,9000000.0
AUDI,A1,2016,2026,10000000.0
AUDI,A1,2017,2017,5093750.0
AUDI,A1,2017,2018,5093750.0
AUDI,A1,2017,2019,5093750.0
AUDI,A1,2017,2020,5093750.0
AUDI,A1,2017,2021,5093750.0
AUDI,A1,2017,2022,6112500.0
AUDI,A1,2017,2023,7131250.0
AUDI,A1,2017,2024,8150000.0
AUDI,A1,2017,2025,9168750.0
AUDI,A1,2017,2026,10187500.0
AUDI,A1,2018,2018,4746875.0
AUDI,A1,2018,2019,4746875.0
AUDI,A1,2018,2020,4746875.0
AUDI,A1,2018,2021,4746875.0
AUDI,A1,2018,2022,5696250.0
AUDI,A1,2018,2023,6645625.0
AUDI,A1,2018,2024,7595000.0
AUDI,A1,2018,2025,8544375.0
AUDI,A1,2018,2026,9493750.0
AUDI,A1 RS,2016,2016,5250000.0
AUDI,A1 RS,2016,2017,5250000.0
AUDI,A1 RS,2016,2018,5250000.0
AUDI,A1 RS,2016,2019,5250000.0
AUDI,A1 RS,2016,2020,5250000.0
AUDI,A1 RS,2016,2021,5250000.0
AUDI,A1 RS,2016,2022,6300000.0
AUDI,A1 RS,2016,2023,7350000.0
AUDI,A1 RS,2016,2024,8400000.0
AUDI,A1 RS,2016,2025,9450000.0
AUDI,A1 RS,2016,2026,10500000.0
AUDI,A3,2018,2018,6950000.0
AUDI,A3,2018,2019,6950000.0
AUDI,A3,2018,2020,6950000.0
AUDI,A3,2018,2021,6950000.0
AUDI,A3,2018,2022,8340000.0
AUDI,A3,2018,2023,9730000.0
AUDI,A3,2018,2024,11120000.0
AUDI,A3,2018,2025,12510000.0
AUDI,A3,2018,2026,13900000.0
AUDI,A3,2023,2023,17485428.57
AUDI,A3,2023,2024,17485428.57
AUDI,A3,2023,2025,17485428.57
AUDI,A3,2023,2026,17485428.57
AUDI,A3,2024,2024,17920857.14
AUDI,A3,2024,2025,17920857.14
AUDI,A3,2024,2026,17920857.14
AUDI,A3,2025,2025,18860090.91
AUDI,A3,2025,2026,18860090.91
AUDI,A3 S LINE,2018,2018,8900000.0
AUDI,A3 S LINE,2018,2019,8900000.0
AUDI,A3 S LINE,2018,2020,8900000.0
AUDI,A3 S LINE,2018,2021,8900000.0
AUDI,A3 S LINE,2018,2022,10680000.0
AUDI,A3 S LINE,2018,2023,12460000.0
AUDI,A3 S LINE,2018,2024,14240000.0
AUDI,A3 S LINE,2018,2025,16020000.0
AUDI,A3 S LINE,2018,2026,17800000.0
AUDI,A3 S-LINE,2018,2018,7250000.0
AUDI,A3 S-LINE,2018,2019,7250000.0
AUDI,A3 S-LINE,2018,2020,7250000.0
AUDI,A3 S-LINE,2018,2021,7250000.0
AUDI,A3 S-LINE,2018,2022,8700000.0
AUDI,A3 S-LINE,2018,2023,10150000.0
AUDI,A3 S-LINE,2018,2024,11600000.0
AUDI,A3 S-LINE,2018,2025,13050000.0
AUDI,A3 S-LINE,2018,2026,14500000.0
AUDI,A3 SEDAN,2023,2023,17400500.0
AUDI,A3 SEDAN,2023,2024,17400500.0
AUDI,A3 SEDAN,2023,2025,17400500.0
AUDI,A3 SEDAN,2023,2026,17400500.0
AUDI,A3 SEDAN,2024,2024,19111666.67
AUDI,A3 SEDAN,2024,2025,19111666.67
AUDI,A3 SEDAN,2024,2026,19111666.67
AUDI,A3 SEDAN,2025,2025,19278916.67
AUDI,A3 SEDAN,2025,2026,19278916.67
AUDI,A3 SPORTBACK,2017,2017,7208333.33
AUDI,A3 SPORTBACK,2017,2018,7208333.33
AUDI,A3 SPORTBACK,2017,2019,7208333.33
AUDI,A3 SPORTBACK,2017,2020,7208333.33
AUDI,A3 SPORTBACK,2017,2021,7208333.33
AUDI,A3 SPORTBACK,2017,2022,8650000.0
AUDI,A3 SPORTBACK,2017,2023,10091666.67
AUDI,A3 SPORTBACK,2017,2024,11533333.33
AUDI,A3 SPORTBACK,2017,2025,12975000.0
AUDI,A3 SPORTBACK,2017,2026,14416666.67
AUDI,A3 SPORTBACK,2023,2023,16895400.0
AUDI,A3 SPORTBACK,2023,2024,16895400.0
AUDI,A3 SPORTBACK,2023,2025,16895400.0
AUDI,A3 SPORTBACK,2023,2026,16895400.0
AUDI,A3 SPORTBACK,2024,2024,18238500.0
AUDI,A3 SPORTBACK,2024,2025,18238500.0
AUDI,A3 SPORTBACK,2024,2026,18238500.0
AUDI,A3 SPORTBACK,2025,2025,18861333.33
AUDI,A3 SPORTBACK,2025,2026,18861333.33
AUDI,A3 TFSI,2015,2015,7950000.0
AUDI,A3 TFSI,2015,2016,7950000.0
AUDI,A3 TFSI,2015,2017,7950000.0
AUDI,A3 TFSI,2015,2018,7950000.0
AUDI,A3 TFSI,2015,2019,7950000.0
AUDI,A3 TFSI,2015,2020,7950000.0
AUDI,A3 TFSI,2015,2021,7950000.0
AUDI,A3 TFSI,2015,2022,9540000.0
AUDI,A3 TFSI,2015,2023,11130000.0
AUDI,A3 TFSI,2015,2024,12720000.0
AUDI,A3 TFSI,2015,2025,14310000.0
AUDI,A3 TFSI,2015,2026,15900000.0
AUDI,A3 TFSI,2018,2018,7475000.0
AUDI,A3 TFSI,2018,2019,7475000.0
AUDI,A3 TFSI,2018,2020,7475000.0
AUDI,A3 TFSI,2018,2021,7475000.0
AUDI,A3 TFSI,2018,2022,8970000.0
AUDI,A3 TFSI,2018,2023,10465000.0
AUDI,A3 TFSI,2018,2024,11960000.0
AUDI,A3 TFSI,2018,2025,13455000.0
AUDI,A3 TFSI,2018,2026,14950000.0
AUDI,A4,1999,1999,1575000.0
AUDI,A4,1999,2000,1575000.0
AUDI,A4,1999,2001,1575000.0
AUDI,A4,1999,2002,1575000.0
AUDI,A4,1999,2003,1575000.0
AUDI,A4,1999,2004,1575000.0
AUDI,A4,1999,2005,1575000.0
AUDI,A4,1999,2006,1575000.0
AUDI,A4,1999,2007,1575000.0
AUDI,A4,1999,2008,1575000.0
AUDI,A4,1999,2009,1575000.0
AUDI,A4,1999,2010,1575000.0
AUDI,A4,1999,2011,1575000.0
AUDI,A4,1999,2012,1575000.0
AUDI,A4,1999,2013,1575000.0
AUDI,A4,1999,2014,1575000.0
AUDI,A4,1999,2015,1575000.0
AUDI,A4,1999,2016,1575000.0
AUDI,A4,1999,2017,1575000.0
AUDI,A4,1999,2018,1575000.0
AUDI,A4,1999,2019,1575000.0
AUDI,A4,1999,2020,1575000.0
AUDI,A4,1999,2021,1575000.0
AUDI,A4,1999,2022,1890000.0
AUDI,A4,1999,2023,2205000.0
AUDI,A4,1999,2024,2520000.0
AUDI,A4,1999,2025,2835000.0
AUDI,A4,1999,2026,3150000.0
AUDI,A4,2001,2001,1940000.0
AUDI,A4,2001,2002,1940000.0
AUDI,A4,2001,2003,1940000.0
AUDI,A4,2001,2004,1940000.0
AUDI,A4,2001,2005,1940000.0
AUDI,A4,2001,2006,1940000.0
AUDI,A4,2001,2007,1940000.0
AUDI,A4,2001,2008,1940000.0
AUDI,A4,2001,2009,1940000.0
AUDI,A4,2001,2010,1940000.0
AUDI,A4,2001,2011,1940000.0
AUDI,A4,2001,2012,1940000.0
AUDI,A4,2001,2013,1940000.0
AUDI,A4,2001,2014,1940000.0
AUDI,A4,2001,2015,1940000.0
AUDI,A4,2001,2016,1940000.0
AUDI,A4,2001,2017,1940000.0
AUDI,A4,2001,2018,1940000.0
AUDI,A4,2001,2019,1940000.0
AUDI,A4,2001,2020,1940000.0
AUDI,A4,2001,2021,1940000.0
AUDI,A4,2001,2022,2328000.0
AUDI,A4,2001,2023,2716000.0
AUDI,A4,2001,2024,3104000.0
AUDI,A4,2001,2025,3492000.0
AUDI,A4,2001,2026,3880000.0
AUDI,A4,2003,2003,2680000.0
AUDI,A4,2003,2004,2680000.0
AUDI,A4,2003,2005,2680000.0
AUDI,A4,2003,2006,2680000.0
AUDI,A4,2003,2007,2680000.0
AUDI,A4,2003,2008,2680000.0
AUDI,A4,2003,2009,2680000.0
AUDI,A4,2003,2010,2680000.0
AUDI,A4,2003,2011,2680000.0
AUDI,A4,2003,2012,2680000.0
AUDI,A4,2003,2013,2680000.0
AUDI,A4,2003,2014,2680000.0
AUDI,A4,2003,2015,2680000.0
AUDI,A4,2003,2016,2680000.0
AUDI,A4,2003,2017,2680000.0
AUDI,A4,2003,2018,2680000.0
AUDI,A4,2003,2019,2680000.0
AUDI,A4,2003,2020,2680000.0
AUDI,A4,2003,2021,2680000.0
AUDI,A4,2003,2022,3216000.0
AUDI,A4,2003,2023,3752000.0
AUDI,A4,2003,2024,4288000.0
AUDI,A4,2003,2025,4824000.0
AUDI,A4,2003,2026,5360000.0
AUDI,A4,2010,2010,5450000.0
AUDI,A4,2010,2011,5450000.0
AUDI,A4,2010,2012,5450000.0
AUDI,A4,2010,2013,5450000.0
AUDI,A4,2010,2014,5450000.0
AUDI,A4,2010,2015,5450000.0
AUDI,A4,2010,2016,5450000.0
AUDI,A4,2010,2017,5450000.0
AUDI,A4,2010,2018,5450000.0
AUDI,A4,2010,2019,5450000.0
AUDI,A4,2010,2020,5450000.0
AUDI,A4,2010,2021,5450000.0
AUDI,A4,2010,2022,6540000.0
AUDI,A4,2010,2023,7630000.0
AUDI,A4,2010,2024,8720000.0
AUDI,A4,2010,2025,9810000.0
AUDI,A4,2010,2026,10900000.0
AUDI,A4,2011,2011,5825000.0
AUDI,A4,2011,2012,5825000.0
AUDI,A4,2011,2013,5825000.0
AUDI,A4,2011,2014,5825000.0
AUDI,A4,2011,2015,5825000.0
AUDI,A4,2011,2016,5825000.0
AUDI,A4,2011,2017,5825000.0
AUDI,A4,2011,2018,5825000.0
AUDI,A4,2011,2019,5825000.0
AUDI,A4,2011,2020,5825000.0
AUDI,A4,2011,2021,5825000.0
AUDI,A4,2011,2022,6990000.0
AUDI,A4,2011,2023,8155000.0
AUDI,A4,2011,2024,9320000.0
AUDI,A4,2011,2025,10485000.0
AUDI,A4,2011,2026,11650000.0
AUDI,A4,2012,2012,7600000.0
AUDI,A4,2012,2013,7600000.0
AUDI,A4,2012,2014,7600000.0
AUDI,A4,2012,2015,7600000.0
AUDI,A4,2012,2016,7600000.0
AUDI,A4,2012,2017,7600000.0
AUDI,A4,2012,2018,7600000.0
AUDI,A4,2012,2019,7600000.0
AUDI,A4,2012,2020,7600000.0
AUDI,A4,2012,2021,7600000.0
AUDI,A4,2012,2022,9120000.0
AUDI,A4,2012,2023,10640000.0
AUDI,A4,2012,2024,12160000.0
AUDI,A4,2012,2025,13680000.0
AUDI,A4,2012,2026,15200000.0
AUDI,A4,2016,2016,10500000.0
AUDI,A4,2016,2017,10500000.0
AUDI,A4,2016,2018,10500000.0
AUDI,A4,2016,2019,10500000.0
AUDI,A4,2016,2020,10500000.0
AUDI,A4,2016,2021,10500000.0
AUDI,A4,2016,2022,12600000.0
AUDI,A4,2016,2023,14700000.0
AUDI,A4,2016,2024,16800000.0
AUDI,A4,2016,2025,18900000.0
AUDI,A4,2016,2026,21000000.0
AUDI,A4,2019,2019,11250000.0
AUDI,A4,2019,2020,11250000.0
AUDI,A4,2019,2021,11250000.0
AUDI,A4,2019,2022,13500000.0
AUDI,A4,2019,2023,15750000.0
AUDI,A4,2019,2024,18000000.0
AUDI,A4,2019,2025,20250000.0
AUDI,A4,2019,2026,22500000.0
AUDI,A4,2023,2023,23304777.78
AUDI,A4,2023,2024,23304777.78
AUDI,A4,2023,2025,23304777.78
AUDI,A4,2023,2026,23304777.78
AUDI,A4,2024,2024,24168000.0
AUDI,A4,2024,2025,24168000.0
AUDI,A4,2024,2026,24168000.0
AUDI,A4,2025,2025,25835692.31
AUDI,A4,2025,2026,25835692.31
AUDI,A4 1.9 TDI,2001,2001,250000.0
AUDI,A4 1.9 TDI,2001,2002,250000.0
AUDI,A4 1.9 TDI,2001,2003,250000.0
AUDI,A4 1.9 TDI,2001,2004,250000.0
AUDI,A4 1.9 TDI,2001,2005,250000.0
AUDI,A4 1.9 TDI,2001,2006,250000.0
AUDI,A4 1.9 TDI,2001,2007,250000.0
AUDI,A4 1.9 TDI,2001,2008,250000.0
AUDI,A4 1.9 TDI,2001,2009,250000.0
AUDI,A4 1.9 TDI,2001,2010,250000.0
AUDI,A4 1.9 TDI,2001,2011,250000.0
AUDI,A4 1.9 TDI,2001,2012,250000.0
AUDI,A4 1.9 TDI,2001,2013,250000.0
AUDI,A4 1.9 TDI,2001,2014,250000.0
AUDI,A4 1.9 TDI,2001,2015,250000.0
AUDI,A4 1.9 TDI,2001,2016,250000.0
AUDI,A4 1.9 TDI,2001,2017,250000.0
