brand,row_count
TOYOTA,3880
SUZUKI,2740
NISSAN,1566
HONDA,1029
MERCEDES-BENZ,775
MITSUBISHI,740
BMW,674
SUBARU,641
HYUNDAI,573
MAZDA,541
LAND ROVER,539
TESLA,481
AUDI,431
DAIHATSU,413
PEUGEOT,393
KIA,363
BYD,351
PERODUA,256
DFSK,245
MICRO,244
FORD,223
LEXUS,218
MG,178
BAIC,175
DEEPAL,175
VOLKSWAGEN,165
BAW,140
GAC,140
HAVAL,140
JETOUR,140
TATA,115
JAECOO,105
RENAULT,58
CHERY,44
CHEVROLET,38
PROTON,29
ISUZU,28
ZOTYE,27
FIAT,22
DATSUN,21
VOLVO,17
DAEWOO,16
MINI,13
AUSTIN,11
OPEL,8
BAJAJ,6
JAGUAR,6
FOTON,3
MORRIS,3
MAHINDRA,2
SKODA,2
WILLYS,2
CITROEN,1
JAC,1
JEEP,1
JONWAY,1
LAND-ROVER,1
OTHER,1
SEAT,1
