brand,model,row_count,min_price_lkr,median_price_lkr,max_price_lkr,std_price_lkr,min_year,max_year,price_range_lkr,std_to_median_ratio,range_to_median_ratio
SUZUKI,ALTO,388,1850000.0,3177500.0,4357461.24,416662.99620250077,1997,2019,2507461.24,0.13112918841935509,0.7891302092840284
TOYOTA,VITZ,366,3650000.0,6011250.0,10800000.0,1592735.0949842907,1999,2019,7150000.0,0.26495905094352934,1.189436473279268
SUZUKI,WAGON R STINGRAY,281,3546585.384,6831290.323,7850000.0,750704.5836925142,2014,2020,4303414.616,0.10989206258223234,0.6299563351173942
SUZUKI,MARUTI,227,1200000.0,1735000.0,2400000.0,238070.94150448387,1993,2014,1200000.0,0.13721668098241144,0.69164265129683
SUZUKI,SWIFT,208,1990625.0,4827000.0,97980000.0,11251761.069832623,2000,2025,95989375.0,2.331004986499404,19.8859281126994
SUZUKI,WAGON R,203,3743750.0,5800000.0,7600000.0,1067883.4561984665,2002,2020,3856250.0,0.18411783727559766,0.6648706896551724
TOYOTA,AQUA,192,6580000.0,7600000.0,17592000.0,2716964.393834745,2012,2025,11012000.0,0.35749531497825593,1.4489473684210525
PERODUA,VIVA ELITE,168,3212500.0,4086313.5595,4695000.0,319776.5412359596,2007,2013,1482500.0,0.07825550745916997,0.3627964370363684
TOYOTA,AXIO,148,6900000.0,9275000.0,14750000.0,2092141.9672423895,2007,2020,7850000.0,0.22556786708812823,0.8463611859838275
TOYOTA,PRIUS,131,6075000.0,9985000.0,27364000.0,6291637.97734364,2007,2025,21289000.0,0.6301089611761282,2.132098147220831
NISSAN,FB15,122,2425000.0,3925000.0,5425000.0,507416.2315717975,1998,2021,3000000.0,0.12927802078262357,0.7643312101910829
SUZUKI,ALTO JAPAN,117,1695000.0,5150000.0,5600000.0,1023791.0343650118,1998,2018,3905000.0,0.19879437560485666,0.7582524271844661
TOYOTA,PREMIO G SUPERIOR,112,9250000.0,13225000.0,19850000.0,2832085.879444665,2007,2020,10600000.0,0.21414638029827332,0.8015122873345936
MICRO,PANDA,110,1646040.21,2605600.0,3425830.42,374646.85221898684,2000,2018,1779790.21,0.143785251849473,0.6830634824992324
TOYOTA,PREMIO,109,3725000.0,13250000.0,21000000.0,3910817.5548247444,1998,2019,17275000.0,0.2951560418735656,1.3037735849056604
TOYOTA,YARIS,105,5612500.0,7292500.0,9480000.0,1185664.7292987858,2006,2025,3867500.0,0.16258686723329252,0.5303393897840247
SUZUKI,WAGON R FZ,101,5150000.0,6275000.0,6990000.0,559813.2980090762,2014,2019,1840000.0,0.0892132745831197,0.2932270916334661
HONDA,FIT GP5,90,6893750.0,8155384.615,9443750.0,554428.6315337737,2013,2024,2550000.0,0.06798313724088827,0.3126768534386284
HONDA,FIT GP1,84,5706875.0,6602903.226,7300000.0,323243.99149776105,2010,2014,1593125.0,0.048954827964907244,0.24127644241805826
SUZUKI,ALTO K10,77,2450000.0,3861363.636,68770000.0,26738958.09222183,2000,2025,66320000.0,6.924744886218696,17.175279577838754
TOYOTA,COROLLA,73,625000.0,3350000.0,20850000.0,7565246.430790069,1984,2025,20225000.0,2.2582825166537517,6.037313432835821
NISSAN,FB14,72,1759375.0,2555000.0,3384375.0,350875.65054536104,1993,2003,1625000.0,0.13732902173986733,0.6360078277886497
HYUNDAI,ACCENT,70,1755000.0,2325000.0,15454000.0,4223872.345200439,1998,2025,13699000.0,1.8167192882582532,5.892043010752688
TOYOTA,PASSO,67,1375000.0,4800000.0,9581250.0,1598796.975313598,2004,2019,8206250.0,0.33308270319033295,1.7096354166666667
HONDA,FIT,65,5475000.0,12520000.0,16496000.0,2810418.528234925,2007,2025,11021000.0,0.2244743233414477,0.8802715654952077
TOYOTA,ALLION,64,6500000.0,9050000.0,13881250.0,1933047.5755372136,2002,2017,7381250.0,0.21359641718643244,0.8156077348066298
SUZUKI,ALTO 800,63,2865000.0,3310000.0,3705000.0,238348.52466966957,2008,2018,840000.0,0.0720086177249757,0.2537764350453172
