brand,model,row_count,min_price_lkr,median_price_lkr,max_price_lkr,std_price_lkr,min_year,max_year,price_range_lkr,std_to_median_ratio,range_to_median_ratio
SUZUKI,ALTO K10,77,2450000.0,3861363.636,68770000.0,26738958.09222183,2000,2025,66320000.0,6.924744886218696,17.175279577838754
DAIHATSU,MIRA,59,4068750.0,5960000.0,77670000.0,30832330.72899264,1987,2025,73601250.0,5.173209853857825,12.349203020134228
PEUGEOT,407,34,1517000.0,3862000.0,45920000.0,15396864.011122696,1980,2008,44403000.0,3.986759195008466,11.497410668047644
NISSAN,ALMERA EL TURBO,25,10024000.0,11221000.0,99930000.0,42948311.462229416,2023,2025,89906000.0,3.8274941148052237,8.012298369129311
PEUGEOT,RCZ,35,10024000.0,11410000.0,98380000.0,39973685.46076239,2012,2015,88356000.0,3.5033904873586668,7.74373356704645
PROTON,SAGA,7,995000.0,1000000.0,8450000.0,3412621.182219517,1988,2024,7455000.0,3.412621182219517,7.455
TOYOTA,LITE ACE,25,10126000.0,11473000.0,99000000.0,37942201.87117945,2023,2025,88874000.0,3.3070863654823888,7.746361021528807
LAND ROVER,FREELANDER 2,40,10031000.0,12985500.0,99930000.0,37505998.12922235,2010,2023,89899000.0,2.888298342707046,6.923029532940587
DAIHATSU,THOR,25,10034000.0,11413000.0,99690000.0,32409235.96178513,2023,2025,89656000.0,2.8396772068505327,7.855603259440988
KIA,SPECTRA,7,1675000.0,1790000.0,13076250.0,4914528.1996947825,2001,2002,11401250.0,2.7455464802764147,6.369413407821229
MITSUBISHI,MITSUBISHI,5,695000.0,1250000.0,8600000.0,3325189.0923675303,1984,2013,7905000.0,2.6601512738940243,6.324
PEUGEOT,406,44,1603000.0,2912500.0,26890000.0,7390001.0703406045,1980,2007,25287000.0,2.5373394232929116,8.682231759656652
SUZUKI,SWIFT,208,1990625.0,4827000.0,97980000.0,11251761.069832623,2000,2025,95989375.0,2.331004986499404,19.8859281126994
