original_brand,original_model,brand,model,brand_changed,model_changed,prefix_cleanup_applied
CHERY,CHERY,CHERY,CHERY,False,False,False
DAEWOO,DAEWOO,DAEWOO,DAEWOO,False,False,False
DAEWOO,DAEWOO,DAEWOO,DAEWOO,False,False,False
DAIHATSU,DAIHATSU,DAIHATSU,DAIHATSU,False,False,False
DATSUN,DATSUN,DATSUN,DATSUN,False,False,False
DATSUN,DATSUN,DATSUN,DATSUN,False,False,False
FORD,FORD,FORD,FORD,False,False,False
FORD,FORD,FORD,FORD,False,False,False
HONDA,HONDA,HONDA,HONDA,False,False,False
HONDA,HONDA,HONDA,HONDA,False,False,False
HYUNDAI,HYUNDAI,HYUNDAI,HYUNDAI,False,False,False
HYUNDAI,HYUNDAI,HYUNDAI,HYUNDAI,False,False,False
KIA,KIA,KIA,KIA,False,False,False
MAHINDRA,MAHINDRA,MAHINDRA,MAHINDRA,False,False,False
MAZDA,MAZDA,MAZDA,MAZDA,False,False,False
MAZDA,MAZDA,MAZDA,MAZDA,False,False,False
MAZDA,MAZDA,MAZDA,MAZDA,False,False,False
MAZDA,MAZDA,MAZDA,MAZDA,False,False,False
MAZDA,MAZDA,MAZDA,MAZDA,False,False,False
MAZDA,MAZDA,MAZDA,MAZDA,False,False,False
MAZDA,MAZDA,MAZDA,MAZDA,False,False,False
MICRO,MICRO,MICRO,MICRO,False,False,False
MITSUBISHI,MITSUBISHI,MITSUBISHI,MITSUBISHI,False,False,False
MITSUBISHI,MITSUBISHI,MITSUBISHI,MITSUBISHI,False,False,False
MITSUBISHI,MITSUBISHI,MITSUBISHI,MITSUBISHI,False,False,False
MITSUBISHI,MITSUBISHI,MITSUBISHI,MITSUBISHI,False,False,False
MITSUBISHI,MITSUBISHI,MITSUBISHI,MITSUBISHI,False,False,False
OPEL,OPEL,OPEL,OPEL,False,False,False
RENAULT,RENAULT,RENAULT,RENAULT,False,False,False
SUBARU,SUBARU,SUBARU,SUBARU,False,False,False
SUZUKI,SUZUKI,SUZUKI,SUZUKI,False,False,False
SUZUKI,SUZUKI,SUZUKI,SUZUKI,False,False,False
SUZUKI,SUZUKI,SUZUKI,SUZUKI,False,False,False
TATA,TATA,TATA,TATA,False,False,False
TOYOTA,TOYOTA,TOYOTA,TOYOTA,False,False,False
TOYOTA,TOYOTA,TOYOTA,TOYOTA,False,False,False
TOYOTA,TOYOTA,TOYOTA,TOYOTA,False,False,False
TOYOTA,TOYOTA,TOYOTA,TOYOTA,False,False,False
TOYOTA,TOYOTA,TOYOTA,TOYOTA,False,False,False
TOYOTA,TOYOTA,TOYOTA,TOYOTA,False,False,False
TOYOTA,TOYOTA,TOYOTA,TOYOTA,False,False,False
TOYOTA,TOYOTA,TOYOTA,TOYOTA,False,False,False
VOLVO,VOLVO,VOLVO,VOLVO,False,False,False
ZOTYE,ZOTYE,ZOTYE,ZOTYE,False,False,False
ZOTYE,ZOTYE,ZOTYE,ZOTYE,False,False,False
