original_brand,original_model,brand,model,brand_changed,model_changed,prefix_cleanup_applied
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
