original_brand,original_model,brand,model,brand_changed,model_changed,prefix_cleanup_applied
CHERY,CHERY,CHERY,CHERY,False,False,False
DAEWOO,DAEWOO,DAEWOO,DAEWOO,False,False,False
DAEWOO,DAEWOO,DAEWOO,DAEWOO,False,False,False
DAIHATSU,DAIHATSU,DAIHATSU,DAIHATSU,False,False,False
DATSUN,DATSUN,DATSUN,DATSUN,False,False,False
DATSUN,DATSUN,DATSUN,DATSUN,False,False,False
FORD,FORD,FORD,FORD,False,False,False
FORD,FORD,FORD,FORD,False,False,False
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
FORD,FORD RANGER,FORD,RANGER,False,True,True
HONDA,HONDA,HONDA,HONDA,False,False,False
HONDA,HONDA,HONDA,HONDA,False,False,False
HYUNDAI,HYUNDAI,HYUNDAI,HYUNDAI,False,False,False
HYUNDAI,HYUNDAI,HYUNDAI,HYUNDAI,False,False,False
KIA,KIA,KIA,KIA,False,False,False
MAHINDRA,MAHINDRA,MAHINDRA,MAHINDRA,False,False,False
MAZDA,MAZDA,MAZDA,MAZDA,False,False,False
MAZDA,MAZDA,MAZDA,MAZDA,False,False,False
MAZDA,MAZDA,MAZDA,MAZDA,False,False,False
MAZDA,MAZDA,MAZDA,MAZDA,False,False,False
MAZDA,MAZDA,MAZDA,MAZDA,False,False,False
MAZDA,MAZDA,MAZDA,MAZDA,False,False,False
MAZDA,MAZDA,MAZDA,MAZDA,False,False,False
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 2 SKYACTIV G,MAZDA,2 SKYACTIV G,False,True,True
MAZDA,MAZDA 3 SKYACTIV G,MAZDA,3 SKYACTIV G,False,True,True
MAZDA,MAZDA 3 SKYACTIV G,MAZDA,3 SKYACTIV G,False,True,True
MAZDA,MAZDA 3 SKYACTIV G,MAZDA,3 SKYACTIV G,False,True,True
MAZDA,MAZDA 3 SKYACTIV G,MAZDA,3 SKYACTIV G,False,True,True
MAZDA,MAZDA 3 SKYACTIV G,MAZDA,3 SKYACTIV G,False,True,True
MAZDA,MAZDA 3 SKYACTIV G,MAZDA,3 SKYACTIV G,False,True,True
MAZDA,MAZDA 3 SKYACTIV G,MAZDA,3 SKYACTIV G,False,True,True
MAZDA,MAZDA 3 SKYACTIV G,MAZDA,3 SKYACTIV G,False,True,True
MAZDA,MAZDA 3 SKYACTIV G,MAZDA,3 SKYACTIV G,False,True,True
MAZDA,MAZDA 3 SKYACTIV G,MAZDA,3 SKYACTIV G,False,True,True
MAZDA,MAZDA 3 SKYACTIV G,MAZDA,3 SKYACTIV G,False,True,True
MAZDA,MAZDA 3 SKYACTIV G,MAZDA,3 SKYACTIV G,False,True,True
MAZDA,MAZDA 3 SKYACTIV G,MAZDA,3 SKYACTIV G,False,True,True
MAZDA,MAZDA 3 SKYACTIV G,MAZDA,3 SKYACTIV G,False,True,True
MAZDA,MAZDA 3 SKYACTIV G,MAZDA,3 SKYACTIV G,False,True,True
MAZDA,MAZDA 3 SKYACTIV G,MAZDA,3 SKYACTIV G,False,True,True
MAZDA,MAZDA 3 SKYACTIV G,MAZDA,3 SKYACTIV G,False,True,True
MAZDA,MAZDA 3 SKYACTIV G,MAZDA,3 SKYACTIV G,False,True,True
MAZDA,MAZDA 3 SKYACTIV G,MAZDA,3 SKYACTIV G,False,True,True
MAZDA,MAZDA 3 SKYACTIV G,MAZDA,3 SKYACTIV G,False,True,True
MAZDA,MAZDA 3 SKYACTIV G,MAZDA,3 SKYACTIV G,False,True,True
MAZDA,MAZDA 3 SKYACTIV G,MAZDA,3 SKYACTIV G,False,True,True
MAZDA,MAZDA 3 SKYACTIV G,MAZDA,3 SKYACTIV G,False,True,True
MAZDA,MAZDA 3 SKYACTIV G,MAZDA,3 SKYACTIV G,False,True,True
MAZDA,MAZDA 3 SKYACTIV G,MAZDA,3 SKYACTIV G,False,True,True
MG,MG 5 COMFORT,MG,5 COMFORT,False,True,True
MG,MG 5 COMFORT,MG,5 COMFORT,False,True,True
MG,MG 5 COMFORT,MG,5 COMFORT,False,True,True
